Service,Category,Subcategory,"Incident Type"
15K,15K,Incident,Incident
15K,15K,"Service Request","Service Request"
Applications,"Active Directory Sync Tool",Error,Incident
Applications,Admissions,Error,Incident
Applications,Admissions,Update,"Service Request"
Applications,"Cherwell Service Manager","Add/Change Report","Service Request"
Applications,"Cherwell Service Manager","Add/Change Security Groups","Service Request"
Applications,"Cherwell Service Manager","Add/Change Team Membership","Service Request"
Applications,"Cherwell Service Manager","Change Business Process Automation","Service Request"
Applications,"Cherwell Service Manager","Change Service/Category/Sub-Category","Service Request"
Applications,"Cherwell Service Manager","Function not working",Incident
Applications,"Cherwell Service Manager","New Business Object","Service Request"
Applications,"Cherwell Service Manager","New Business Process Automation","Service Request"
Applications,"Cherwell Service Manager","New Feature","Service Request"
Applications,"Cherwell Service Manager","Other Issue",Incident
Applications,"Cherwell Service Manager","Other Request","Service Request"
Applications,"Cherwell Service Manager","Update Business Object","Service Request"
Applications,"ChipsNet (Employee Portal)","Access Issue",Incident
Applications,"ChipsNet (Employee Portal)","Content Change / Add","Service Request"
Applications,"ChipsNet (Employee Portal)","Content Error",Incident
Applications,"ChipsNet (Employee Portal)","New Access","Service Request"
Applications,Class,Academic,Incident
Applications,Class,Financial,Incident
Applications,Database,"Access Issue",Incident
Applications,Database,"Access Request","Service Request"
Applications,Database,"Backup / Restore / Recover Request","Service Request"
Applications,Database,"Create New","Service Request"
Applications,Database,"Other Issue",Incident
Applications,Database,"Other Request","Service Request"
Applications,Database,"Performance Tuning","Service Request"
Applications,"Lead Routing",Issue,Incident
Applications,"Lead Routing",Request,"Service Request"
Applications,"RCAC Application / Enrollment Agreement",Issue,Incident
Applications,"RCAC Application / Enrollment Agreement",Request,"Service Request"
Applications,Salesforce,"Account Access Issue",Incident
Applications,Salesforce,"Account Setup Request","Service Request"
Applications,Salesforce,"Other Issue",Incident
Applications,Salesforce,"Other Request","Service Request"
Applications,"Schedule Confirmation","Not able to confirm",Incident
Applications,"Schedule Confirmation","Page Error",Incident
Applications,"Sharepoint - Internal","Access Issue",Incident
Applications,"Sharepoint - Internal","Content Change / Add","Service Request"
Applications,"Sharepoint - Internal","Content Error",Incident
Applications,"Sharepoint - Internal","New Access","Service Request"
Applications,"Sharepoint - Internal","New Page","Service Request"
Applications,"Sharepoint - Internal","Page Error",Incident
Applications,"Sharepoint - Student Portal","Access Issue",Incident
Applications,"Sharepoint - Student Portal","Content Change / Add","Service Request"
Applications,"Sharepoint - Student Portal","Content Error",Incident
Applications,"Sharepoint - Student Portal","New Access","Service Request"
Applications,"Sharepoint - Student Portal","Page Error",Incident
Applications,Solomon,"Access Issue",Incident
Applications,Solomon,Other,Incident
Applications,STEP,"Access Issue",Incident
Applications,STEP,"Content Error",Incident
Applications,"Student Portal","Access Issue",Incident
Applications,"Student Portal","Brainfuse / Tutoring","Service Request"
Applications,"Student Portal","Content Change / Add","Service Request"
Applications,"Student Portal","Content Error",Incident
Applications,"Student Portal","New Access","Service Request"
Applications,"Student Portal",Other,Incident
Applications,"Student Portal","Page Error",Incident
Applications,"Wiley Application",Issue,Incident
Applications,"Wiley Application","Service Request","Service Request"
CampusVue,Academic,"Activity / Letter",Incident
CampusVue,Academic,"Attendance LDA / DOD",Incident
CampusVue,Academic,"Campus to Campus Transfer","Service Request"
CampusVue,Academic,"Final / Other Grade Issue",Incident
CampusVue,Academic,"GPA Error",Incident
CampusVue,Academic,"Other Academic Issue",Incident
CampusVue,Academic,"Schedule / Course Re-Instatement","Service Request"
CampusVue,Academic,"Status Correction / Reversal",Incident
CampusVue,Academic,"Status Issue - Other",Incident
CampusVue,Academic,"Transcript Correction",Incident
CampusVue,Academic,"Wrong Campus / Program",Incident
CampusVue,Admissions,"Data Sheet/Enrollment Agreement","Service Request"
CampusVue,Admissions,"Enrollment Documents","Service Request"
CampusVue,Admissions,Letters/Emails,"Service Request"
CampusVue,Admissions,Other,"Service Request"
CampusVue,Admissions,Reports,"Service Request"
CampusVue,Admissions,"Student Master Issue",Incident
CampusVue,"Change Request","New Activity","Service Request"
CampusVue,"Change Request","New Billing Method","Service Request"
CampusVue,"Change Request","New Delivery Method","Service Request"
CampusVue,"Change Request","New Fund Source","Service Request"
CampusVue,"Change Request","New Student Group","Service Request"
CampusVue,"Change Request","Other Change Request","Service Request"
CampusVue,"Change Request","Report - Modification","Service Request"
CampusVue,"Change Request","Report - New","Service Request"
CampusVue,Configuration,"Agency Addition","Service Request"
CampusVue,Configuration,"College Addition","Service Request"
CampusVue,Configuration,"High School Addition","Service Request"
CampusVue,Configuration,"New Term Addition","Service Request"
